CAI,EDAD,TRABAJA,VINCULO,CONSUME_ALCOHOL,FUMA,CONSUME_DROGA,ADICCION_NO_CONVENCIONAL,RIESGO_PRESUNTIVO,MES,TIPO_VIO
CARMEN DE LA LEGUA,27,1,5,6,1,1,1,1,5,2
CARMEN DE LA LEGUA,53,0,1,2,1,1,1,1,5,2
CARMEN DE LA LEGUA,32,1,3,2,1,1,1,1,5,3
CARMEN DE LA LEGUA,35,1,1,6,1,1,1,1,5,2
CARMEN DE LA LEGUA,25,1,4,6,6,1,1,1,5,2
CARMEN DE LA LEGUA,42,1,4,6,1,1,1,1,5,2
CARMEN DE LA LEGUA,58,1,4,1,1,1,1,1,5,3
CARMEN DE LA LEGUA,29,1,4,6,2,1,1,1,5,3
CARMEN DE LA LEGUA,44,1,4,6,1,1,1,1,5,3
CARMEN DE LA LEGUA,35,1,3,6,1,1,1,1,5,3
CARMEN DE LA LEGUA,43,1,6,2,1,1,1,1,5,2
CARMEN DE LA LEGUA,21,1,1,6,2,1,1,1,5,3
CARMEN DE LA LEGUA,46,1,1,1,1,1,1,1,5,2
CARMEN DE LA LEGUA,27,1,4,2,1,1,1,1,5,3
CARMEN DE LA LEGUA,48,0,1,1,1,1,1,1,5,3
CARMEN DE LA LEGUA,31,1,4,6,2,1,1,1,5,3
CARMEN DE LA LEGUA,29,1,4,6,3,1,1,1,5,3
CARMEN DE LA LEGUA,40,1,1,1,1,1,1,1,5,2
CARMEN DE LA LEGUA,26,0,4,6,6,1,1,1,5,2
CARMEN DE LA LEGUA,52,1,6,6,1,1,1,1,5,3
CARMEN DE LA LEGUA,60,1,6,6,1,1,1,1,5,2
CARMEN DE LA LEGUA,58,1,6,6,6,1,1,1,5,3
CARMEN DE LA LEGUA,72,1,1,5,1,1,1,1,5,2
CARMEN DE LA LEGUA,33,1,4,2,2,1,1,1,5,3
CARMEN DE LA LEGUA,34,0,4,5,5,5,1,1,5,3
CARMEN DE LA LEGUA,20,1,4,1,1,1,6,1,5,3
CARMEN DE LA LEGUA,41,1,4,5,3,4,1,1,5,3
CARMEN DE LA LEGUA,48,1,1,6,1,1,1,1,5,3
CARMEN DE LA LEGUA,35,1,1,6,1,1,6,2,5,3
CARMEN DE LA LEGUA,39,1,4,6,1,1,1,1,5,3
CARMEN DE LA LEGUA,27,1,4,2,2,1,1,1,5,3
CARMEN DE LA LEGUA,36,1,4,2,1,1,1,1,5,2
CARMEN DE LA LEGUA,54,1,1,1,1,1,1,1,5,3
CARMEN DE LA LEGUA,46,1,6,2,1,1,1,1,5,3
CARMEN DE LA LEGUA,38,1,4,6,1,1,1,1,5,2
CARMEN DE LA LEGUA,21,1,4,1,1,1,1,1,5,3
CARMEN DE LA LEGUA,43,0,4,2,1,1,1,1,5,3
CARMEN DE LA LEGUA,42,1,4,1,3,1,1,1,5,3
CARMEN DE LA LEGUA,33,1,4,6,1,6,1,1,5,3
CARMEN DE LA LEGUA,32,1,2,6,6,1,1,1,5,2
CARMEN DE LA LEGUA,54,1,1,5,5,1,1,1,5,3
CARMEN DE LA LEGUA,19,1,5,2,1,1,3,1,5,3
CARMEN DE LA LEGUA,38,1,4,2,2,1,1,1,5,3
CARMEN DE LA LEGUA,35,1,4,6,1,1,1,1,5,3
CARMEN DE LA LEGUA,40,1,6,2,1,1,1,1,5,3
CARMEN DE LA LEGUA,51,1,6,5,3,5,5,2,5,2
CARMEN DE LA LEGUA,52,1,3,6,1,1,1,1,5,3
CARMEN DE LA LEGUA,39,1,4,2,2,1,1,1,5,2
CARMEN DE LA LEGUA,22,1,5,2,2,1,2,1,5,3
CARMEN DE LA LEGUA,31,1,5,2,2,1,1,1,5,3
CARMEN DE LA LEGUA,41,1,4,6,1,1,1,1,5,2
CARMEN DE LA LEGUA,74,1,1,1,1,1,1,1,5,2
CARMEN DE LA LEGUA,25,1,4,2,5,1,1,1,5,3
CARMEN DE LA LEGUA,27,1,6,1,1,1,1,1,5,2
CARMEN DE LA LEGUA,27,1,4,6,2,1,1,1,5,2
CARMEN DE LA LEGUA,44,0,4,6,1,1,1,1,5,2
CARMEN DE LA LEGUA,34,1,1,2,2,1,1,1,5,3
CARMEN DE LA LEGUA,46,1,1,6,1,1,1,1,5,3
CARMEN DE LA LEGUA,50,1,6,6,1,1,1,1,5,2
CARMEN DE LA LEGUA,43,1,4,1,1,1,1,1,5,2
CARMEN DE LA LEGUA,54,1,3,6,1,1,1,1,5,2
CARMEN DE LA LEGUA,32,1,1,2,1,1,1,1,5,2
CARMEN DE LA LEGUA,26,1,3,2,1,1,1,1,5,3
CARMEN DE LA LEGUA,41,1,4,2,1,1,1,1,5,2
CARMEN DE LA LEGUA,27,1,6,2,1,1,1,1,5,3
CARMEN DE LA LEGUA,55,0,3,2,1,1,1,1,5,3
CARMEN DE LA LEGUA,47,1,1,6,6,1,1,1,5,3
CARMEN DE LA LEGUA,42,0,5,2,1,1,1,1,5,3
CARMEN DE LA LEGUA,57,1,6,1,1,1,1,1,5,3
CARMEN DE LA LEGUA,43,1,1,2,1,1,1,1,5,2
CARMEN DE LA LEGUA,55,0,5,1,2,1,1,1,5,3
CARMEN DE LA LEGUA,48,1,6,6,2,1,1,1,5,2
CARMEN DE LA LEGUA,26,1,5,1,1,1,1,1,5,3
CARMEN DE LA LEGUA,26,0,6,2,2,1,1,1,5,3
CARMEN DE LA LEGUA,57,1,4,6,3,1,1,1,5,2
CARMEN DE LA LEGUA,64,0,2,6,1,1,1,1,5,2
CARMEN DE LA LEGUA,64,0,1,1,1,1,1,2,6,2
CARMEN DE LA LEGUA,28,1,4,2,1,1,1,1,6,3
CARMEN DE LA LEGUA,40,1,2,1,1,1,1,1,6,2
CARMEN DE LA LEGUA,55,1,6,2,2,1,1,1,6,2
CARMEN DE LA LEGUA,26,1,4,5,5,1,1,1,6,3
CARMEN DE LA LEGUA,39,1,4,2,4,1,1,1,6,3
CARMEN DE LA LEGUA,41,1,2,2,3,1,1,1,6,3
CARMEN DE LA LEGUA,43,1,6,2,1,1,1,1,6,3
CARMEN DE LA LEGUA,33,1,4,2,1,1,1,1,6,3
CARMEN DE LA LEGUA,59,1,6,6,3,1,1,1,6,3
CARMEN DE LA LEGUA,53,1,4,6,1,1,1,1,6,3
CARMEN DE LA LEGUA,39,0,4,2,1,1,1,1,6,3
CARMEN DE LA LEGUA,44,1,1,2,1,1,4,1,6,3
CARMEN DE LA LEGUA,28,0,3,2,1,1,1,1,6,3
CARMEN DE LA LEGUA,45,1,4,2,1,1,1,1,6,3
CARMEN DE LA LEGUA,44,1,1,5,1,1,1,1,6,3
CARMEN DE LA LEGUA,40,1,4,1,1,1,1,1,6,2
CARMEN DE LA LEGUA,39,1,4,2,1,1,1,1,6,2
CARMEN DE LA LEGUA,52,1,6,2,1,1,1,1,6,3
CARMEN DE LA LEGUA,22,1,4,2,3,5,1,1,6,3
CARMEN DE LA LEGUA,41,0,5,1,2,1,2,1,6,2
CARMEN DE LA LEGUA,29,1,4,2,1,1,1,1,6,3
CARMEN DE LA LEGUA,43,1,4,2,1,1,1,1,6,3
CARMEN DE LA LEGUA,51,1,6,2,1,1,1,1,6,3
CARMEN DE LA LEGUA,38,1,4,2,1,1,1,1,6,2
CARMEN DE LA LEGUA,50,1,1,5,1,1,1,1,6,3
CARMEN DE LA LEGUA,44,1,3,2,1,1,1,1,6,3
CARMEN DE LA LEGUA,43,1,4,2,1,1,1,1,6,3
CARMEN DE LA LEGUA,35,1,4,5,1,1,1,1,6,3
CARMEN DE LA LEGUA,41,1,3,2,1,1,1,1,6,2
CARMEN DE LA LEGUA,37,1,6,2,1,1,1,1,6,2
CARMEN DE LA LEGUA,29,1,4,2,4,1,1,1,6,2
CARMEN DE LA LEGUA,62,1,6,2,3,1,1,1,6,2
CARMEN DE LA LEGUA,44,1,3,1,1,1,1,1,6,3
CARMEN DE LA LEGUA,43,1,6,2,1,1,1,1,6,3
CARMEN DE LA LEGUA,33,1,1,6,6,1,1,1,6,2
CARMEN DE LA LEGUA,41,1,1,2,1,1,1,1,6,2
CARMEN DE LA LEGUA,65,1,6,2,1,1,1,1,6,3
CARMEN DE LA LEGUA,36,1,4,2,1,1,1,1,6,3
CARMEN DE LA LEGUA,42,1,6,1,1,1,1,1,6,3
CARMEN DE LA LEGUA,32,1,4,2,1,1,1,1,6,2
CARMEN DE LA LEGUA,60,1,4,6,1,1,1,1,6,3
CARMEN DE LA LEGUA,26,1,6,6,2,1,1,1,6,3
CARMEN DE LA LEGUA,34,1,6,2,1,1,1,1,6,3
CARMEN DE LA LEGUA,22,1,3,2,3,1,1,1,6,3
CARMEN DE LA LEGUA,35,1,3,6,1,1,1,1,6,3
CARMEN DE LA LEGUA,46,1,6,2,1,1,1,1,6,3
CARMEN DE LA LEGUA,51,1,3,2,1,1,1,1,6,3
CARMEN DE LA LEGUA,38,1,4,5,1,1,1,1,6,3
CARMEN DE LA LEGUA,38,1,2,1,2,1,1,1,6,2
CARMEN DE LA LEGUA,49,1,4,2,1,1,1,1,6,3
CARMEN DE LA LEGUA,69,1,1,1,2,1,1,1,6,2
CARMEN DE LA LEGUA,49,1,4,2,4,1,1,1,6,3
CARMEN DE LA LEGUA,71,0,6,2,1,1,1,1,7,2
CARMEN DE LA LEGUA,52,1,5,2,2,1,1,1,7,2
CARMEN DE LA LEGUA,44,1,1,2,1,1,1,1,7,3
CARMEN DE LA LEGUA,23,1,4,2,1,1,1,1,7,3
CARMEN DE LA LEGUA,21,1,4,5,5,1,1,1,7,2
CARMEN DE LA LEGUA,34,1,1,2,1,1,1,1,7,2
CARMEN DE LA LEGUA,20,1,4,6,1,1,1,1,7,3
CARMEN DE LA LEGUA,67,1,4,2,3,1,1,1,7,2
CARMEN DE LA LEGUA,47,1,4,2,1,1,1,1,7,2
CARMEN DE LA LEGUA,48,0,2,1,1,1,1,1,7,3
CARMEN DE LA LEGUA,41,1,4,1,1,1,1,1,7,2
CARMEN DE LA LEGUA,32,1,1,2,2,1,1,1,7,3
CARMEN DE LA LEGUA,41,1,3,5,1,1,1,1,7,3
CARMEN DE LA LEGUA,39,0,4,6,6,1,1,1,7,2
CARMEN DE LA LEGUA,33,1,5,1,4,1,1,1,7,3
CARMEN DE LA LEGUA,36,1,3,6,2,1,1,1,7,3
CARMEN DE LA LEGUA,39,1,1,1,1,1,1,1,7,3
CARMEN DE LA LEGUA,47,1,3,6,2,1,1,1,7,2
CARMEN DE LA LEGUA,37,1,4,2,1,1,1,1,7,3
CARMEN DE LA LEGUA,33,1,4,2,2,2,1,1,7,2
CARMEN DE LA LEGUA,66,1,6,2,1,6,1,1,7,2
CARMEN DE LA LEGUA,41,1,4,5,1,1,1,1,7,3
CARMEN DE LA LEGUA,31,1,4,2,1,1,1,1,7,2
CARMEN DE LA LEGUA,51,0,6,2,4,1,1,1,7,3
CARMEN DE LA LEGUA,51,1,1,1,1,1,1,1,7,3
CARMEN DE LA LEGUA,32,1,3,2,1,1,1,1,7,3
CARMEN DE LA LEGUA,44,1,1,2,1,1,1,1,7,2
CARMEN DE LA LEGUA,47,1,4,6,2,1,1,1,7,3
CARMEN DE LA LEGUA,59,1,3,2,1,1,1,1,7,2
CARMEN DE LA LEGUA,37,1,1,2,1,1,1,1,7,2
CARMEN DE LA LEGUA,38,1,1,6,1,1,1,1,7,2
CARMEN DE LA LEGUA,33,1,6,2,4,1,1,1,7,2
CARMEN DE LA LEGUA,62,1,3,1,1,1,1,1,7,3
CARMEN DE LA LEGUA,35,1,6,2,1,1,1,1,7,2
CARMEN DE LA LEGUA,25,1,4,2,2,1,1,1,7,3
CARMEN DE LA LEGUA,35,1,6,4,4,1,1,1,7,3
CARMEN DE LA LEGUA,34,1,4,6,6,1,1,1,7,3
CARMEN DE LA LEGUA,32,1,3,2,1,1,1,1,7,3
CARMEN DE LA LEGUA,28,1,4,2,1,1,1,1,7,2
CARMEN DE LA LEGUA,36,1,6,2,2,1,1,1,7,2
CARMEN DE LA LEGUA,56,1,4,2,3,1,1,1,7,3
CARMEN DE LA LEGUA,38,1,4,2,3,1,1,1,7,2
CARMEN DE LA LEGUA,55,1,6,1,1,1,1,1,7,2
CARMEN DE LA LEGUA,23,1,4,1,2,1,1,1,7,3
CARMEN DE LA LEGUA,21,1,5,2,2,1,1,1,7,3
CARMEN DE LA LEGUA,37,1,3,2,2,1,1,1,7,3
CARMEN DE LA LEGUA,48,1,1,2,1,1,1,1,7,3
CARMEN DE LA LEGUA,55,1,1,2,1,1,1,1,7,3
CARMEN DE LA LEGUA,26,1,5,2,3,1,1,1,7,3
CARMEN DE LA LEGUA,44,1,6,5,1,5,1,2,7,3
CARMEN DE LA LEGUA,38,0,1,2,2,1,1,2,7,3
CARMEN DE LA LEGUA,44,1,4,2,1,1,1,1,7,3
CARMEN DE LA LEGUA,57,1,3,2,3,1,1,1,7,2
CARMEN DE LA LEGUA,56,0,1,6,1,1,1,1,7,2
CARMEN DE LA LEGUA,44,1,1,2,2,1,1,1,7,2
CARMEN DE LA LEGUA,38,0,4,6,1,1,1,1,7,3
CARMEN DE LA LEGUA,35,1,4,2,3,1,1,1,7,2
CARMEN DE LA LEGUA,33,1,6,2,2,1,1,1,7,2
CARMEN DE LA LEGUA,43,1,4,6,6,1,1,1,7,2
CARMEN DE LA LEGUA,41,1,1,1,1,1,1,1,7,3
CARMEN DE LA LEGUA,47,1,6,6,2,1,1,1,7,2
CARMEN DE LA LEGUA,29,1,4,2,2,1,1,1,7,3
CARMEN DE LA LEGUA,34,1,4,2,1,1,1,1,7,2
CARMEN DE LA LEGUA,44,1,1,5,1,1,1,1,7,2
CARMEN DE LA LEGUA,56,1,6,1,1,1,1,1,7,2
CARMEN DE LA LEGUA,20,0,6,1,1,1,1,2,7,2
CARMEN DE LA LEGUA,58,0,4,1,1,1,1,1,7,2
CARMEN DE LA LEGUA,56,1,2,2,1,1,1,1,7,2
CARMEN DE LA LEGUA,19,1,3,2,2,1,1,1,7,3
CARMEN DE LA LEGUA,39,1,3,1,1,6,1,1,7,2
CARMEN DE LA LEGUA,25,1,4,2,2,2,1,1,7,3
CARMEN DE LA LEGUA,33,1,4,2,1,1,1,1,7,3
CARMEN DE LA LEGUA,42,1,4,6,1,1,1,1,7,3
CARMEN DE LA LEGUA,35,1,4,2,1,1,2,1,8,2
CARMEN DE LA LEGUA,40,1,6,1,2,1,1,1,8,2
CARMEN DE LA LEGUA,29,1,1,1,1,1,1,1,8,3
CARMEN DE LA LEGUA,49,1,3,6,1,1,1,1,8,3
CARMEN DE LA LEGUA,21,0,6,2,1,1,1,1,8,2
CARMEN DE LA LEGUA,37,1,2,6,1,1,1,1,8,2
CARMEN DE LA LEGUA,31,1,4,2,1,1,1,1,8,3
CARMEN DE LA LEGUA,38,1,1,6,1,1,1,1,8,3
CARMEN DE LA LEGUA,40,1,1,2,1,1,1,1,8,2
CARMEN DE LA LEGUA,51,1,3,6,6,1,1,1,8,3
CARMEN DE LA LEGUA,31,1,4,6,1,1,1,1,8,3
CARMEN DE LA LEGUA,78,0,1,2,2,1,1,1,8,3
CARMEN DE LA LEGUA,30,1,5,2,1,1,1,1,8,3
CARMEN DE LA LEGUA,36,1,3,2,1,3,1,2,8,3
CARMEN DE LA LEGUA,39,1,1,2,1,1,1,1,8,2
CARMEN DE LA LEGUA,39,1,2,2,1,1,1,1,8,2
CARMEN DE LA LEGUA,41,1,3,2,1,1,1,1,8,3
CARMEN DE LA LEGUA,51,1,6,6,6,1,1,1,8,3
CARMEN DE LA LEGUA,23,1,5,2,1,1,1,1,8,2
CARMEN DE LA LEGUA,31,1,5,2,1,1,1,1,8,2
CARMEN DE LA LEGUA,48,1,4,1,1,1,1,1,8,2
CARMEN DE LA LEGUA,55,1,1,1,1,1,1,1,8,2
CARMEN DE LA LEGUA,36,1,3,1,1,1,2,1,8,3
CARMEN DE LA LEGUA,47,1,6,2,1,1,1,2,8,2
CARMEN DE LA LEGUA,29,1,3,5,1,1,1,1,8,3
CARMEN DE LA LEGUA,40,1,6,2,1,1,1,1,8,3
CARMEN DE LA LEGUA,31,1,1,2,3,1,1,1,8,3
CARMEN DE LA LEGUA,35,1,4,2,1,1,1,1,8,2
CARMEN DE LA LEGUA,43,1,2,1,2,1,1,1,8,2
CARMEN DE LA LEGUA,45,1,6,2,1,1,1,1,8,2
CARMEN DE LA LEGUA,42,1,4,5,1,1,1,1,8,3
CARMEN DE LA LEGUA,25,1,4,2,1,1,1,1,8,3
CARMEN DE LA LEGUA,33,1,4,2,1,1,1,1,8,2
CARMEN DE LA LEGUA,35,1,4,2,1,1,1,1,8,2
CARMEN DE LA LEGUA,48,1,4,2,1,1,1,1,8,3
CARMEN DE LA LEGUA,23,1,3,6,1,1,1,1,8,3
CARMEN DE LA LEGUA,41,1,3,2,1,1,1,1,8,2
CARMEN DE LA LEGUA,45,1,6,1,1,1,1,1,8,2
CARMEN DE LA LEGUA,30,1,6,5,5,1,1,1,8,2
CARMEN DE LA LEGUA,32,1,1,6,6,1,1,1,8,3
CARMEN DE LA LEGUA,47,1,5,2,1,1,1,2,8,2
CARMEN DE LA LEGUA,39,1,3,2,1,1,1,1,8,2
CARMEN DE LA LEGUA,81,0,1,1,1,1,2,2,8,2
CARMEN DE LA LEGUA,50,1,2,2,3,1,1,1,8,3
CARMEN DE LA LEGUA,32,1,3,2,1,1,1,1,8,3
CARMEN DE LA LEGUA,46,0,3,2,1,1,1,1,8,2
CARMEN DE LA LEGUA,37,1,4,6,1,1,1,1,8,2
CARMEN DE LA LEGUA,63,1,6,2,5,1,1,1,8,3
CARMEN DE LA LEGUA,70,0,1,5,3,1,1,1,8,2
CARMEN DE LA LEGUA,67,1,6,6,1,1,1,1,8,2
CARMEN DE LA LEGUA,60,0,4,6,3,1,1,1,8,3
CARMEN DE LA LEGUA,30,1,4,2,1,1,1,1,8,3
CARMEN DE LA LEGUA,52,1,1,2,1,1,1,1,8,2
CARMEN DE LA LEGUA,60,1,2,2,2,1,1,1,8,2
CARMEN DE LA LEGUA,31,1,3,2,1,1,1,1,8,3
CARMEN DE LA LEGUA,23,0,5,2,1,1,1,1,8,2
CARMEN DE LA LEGUA,40,1,4,2,2,1,1,1,8,2
CARMEN DE LA LEGUA,31,1,5,2,2,1,1,1,8,3
CARMEN DE LA LEGUA,57,1,6,1,1,1,1,1,8,2
CARMEN DE LA LEGUA,37,1,2,6,2,1,1,1,8,2
CARMEN DE LA LEGUA,33,1,4,1,1,1,1,1,8,2
CARMEN DE LA LEGUA,44,1,4,2,2,1,1,1,8,2
CARMEN DE LA LEGUA,45,1,1,1,1,1,1,1,8,2
CARMEN DE LA LEGUA,32,1,3,2,2,1,1,1,8,2
CARMEN DE LA LEGUA,25,1,4,2,2,1,1,1,8,2
CARMEN DE LA LEGUA,24,1,4,1,1,1,1,1,8,2
CARMEN DE LA LEGUA,42,1,1,1,1,1,1,1,8,2
CARMEN DE LA LEGUA,55,1,4,2,1,1,1,1,8,2
CARMEN DE LA LEGUA,64,1,6,1,1,1,1,1,8,2
CARMEN DE LA LEGUA,58,0,1,1,3,1,1,1,8,3
CARMEN DE LA LEGUA,69,0,1,5,1,1,1,2,8,2
CARMEN DE LA LEGUA,64,1,6,5,1,1,1,1,9,2
CARMEN DE LA LEGUA,37,1,6,2,1,1,1,1,9,3
CARMEN DE LA LEGUA,51,1,1,4,1,1,1,1,9,3
CARMEN DE LA LEGUA,55,1,1,2,1,1,1,1,9,2
CARMEN DE LA LEGUA,45,1,4,5,5,1,1,2,9,3
CARMEN DE LA LEGUA,25,1,3,5,5,1,1,1,9,3
CARMEN DE LA LEGUA,51,1,6,2,1,1,1,1,9,3
CARMEN DE LA LEGUA,37,0,4,1,1,1,1,1,9,3
CARMEN DE LA LEGUA,22,1,3,2,1,1,1,1,9,3
CARMEN DE LA LEGUA,41,1,4,2,1,1,1,1,9,3
CARMEN DE LA LEGUA,49,1,1,1,1,1,1,1,9,2
CARMEN DE LA LEGUA,48,1,4,2,1,1,1,1,9,3
CARMEN DE LA LEGUA,76,1,6,1,1,1,1,1,9,2
CARMEN DE LA LEGUA,36,1,3,2,1,1,1,2,9,3
CARMEN DE LA LEGUA,36,1,1,2,2,1,1,1,9,3
CARMEN DE LA LEGUA,39,1,4,2,2,1,1,1,9,3
CARMEN DE LA LEGUA,52,1,1,1,1,1,1,1,9,2
CARMEN DE LA LEGUA,29,1,1,2,1,1,1,1,9,3
CARMEN DE LA LEGUA,37,1,6,1,1,1,1,1,9,3
CARMEN DE LA LEGUA,55,1,3,2,1,1,1,1,9,3
CARMEN DE LA LEGUA,26,1,1,1,1,1,1,1,9,3
CARMEN DE LA LEGUA,55,1,6,1,1,1,1,2,9,2
CARMEN DE LA LEGUA,53,1,3,5,1,1,1,1,9,3
CARMEN DE LA LEGUA,36,1,6,6,3,1,1,1,9,3
CARMEN DE LA LEGUA,48,1,6,2,1,1,1,1,9,3
CARMEN DE LA LEGUA,58,1,4,6,1,1,1,1,9,2
CARMEN DE LA LEGUA,32,1,4,2,1,1,1,1,9,2
CARMEN DE LA LEGUA,50,1,3,2,1,1,1,1,9,3
CARMEN DE LA LEGUA,39,1,1,2,2,1,1,1,9,2
CARMEN DE LA LEGUA,28,1,4,1,1,1,1,1,9,2
CARMEN DE LA LEGUA,57,1,6,2,1,1,1,1,9,3
CARMEN DE LA LEGUA,49,1,4,6,1,1,1,1,9,3
CARMEN DE LA LEGUA,39,0,4,2,1,1,1,1,9,3
CARMEN DE LA LEGUA,38,1,6,2,1,1,1,1,9,3
CARMEN DE LA LEGUA,29,1,4,2,2,1,1,1,9,2
CARMEN DE LA LEGUA,52,1,6,2,1,1,1,1,9,3
CARMEN DE LA LEGUA,43,1,6,1,1,1,1,1,9,3
CARMEN DE LA LEGUA,61,0,2,1,1,1,1,1,9,2
CARMEN DE LA LEGUA,48,1,6,1,1,1,1,1,9,2
CARMEN DE LA LEGUA,19,1,3,5,1,5,1,2,9,3
CARMEN DE LA LEGUA,56,1,1,2,1,1,1,1,9,3
CARMEN DE LA LEGUA,32,1,1,1,1,1,1,1,9,2
CARMEN DE LA LEGUA,31,1,3,2,5,1,1,1,9,2
CARMEN DE LA LEGUA,49,1,4,2,2,1,1,1,9,3
CARMEN DE LA LEGUA,30,1,5,1,1,1,1,1,9,2
CARMEN DE LA LEGUA,53,1,2,1,1,1,1,1,9,3
CARMEN DE LA LEGUA,55,1,6,6,6,1,1,1,9,3
CARMEN DE LA LEGUA,44,1,4,6,6,1,1,1,9,3
CARMEN DE LA LEGUA,23,1,5,1,1,1,1,1,9,3
CARMEN DE LA LEGUA,74,1,6,2,5,1,1,1,9,2
CARMEN DE LA LEGUA,27,1,4,6,1,1,1,1,9,3
CARMEN DE LA LEGUA,30,1,6,2,2,1,1,1,9,3
CARMEN DE LA LEGUA,57,1,6,2,1,1,1,1,9,2
CARMEN DE LA LEGUA,44,1,1,6,1,1,1,1,9,3
CARMEN DE LA LEGUA,27,1,1,2,1,1,1,1,9,3
CARMEN DE LA LEGUA,39,1,5,2,1,1,1,1,9,2
CARMEN DE LA LEGUA,28,1,6,2,2,1,1,1,9,3
CARMEN DE LA LEGUA,38,1,3,2,1,1,1,1,9,2
CARMEN DE LA LEGUA,27,1,4,2,2,1,1,1,9,3
CARMEN DE LA LEGUA,24,1,5,2,2,1,1,2,9,3
CARMEN DE LA LEGUA,32,1,5,2,3,1,4,2,9,3
CARMEN DE LA LEGUA,49,1,5,2,2,1,2,1,9,3
CARMEN DE LA LEGUA,36,1,5,2,2,1,1,1,10,2
CARMEN DE LA LEGUA,61,0,5,2,1,1,1,1,10,2
CARMEN DE LA LEGUA,47,1,1,6,1,1,1,1,10,2
CARMEN DE LA LEGUA,54,1,1,2,1,1,1,1,10,2
CARMEN DE LA LEGUA,31,1,4,2,1,1,1,1,10,2
CARMEN DE LA LEGUA,65,1,4,1,1,1,1,1,10,1
CARMEN DE LA LEGUA,33,1,6,6,6,1,1,2,10,2
CARMEN DE LA LEGUA,30,1,4,2,1,1,1,1,10,3
CARMEN DE LA LEGUA,35,1,2,6,1,1,1,1,10,3
CARMEN DE LA LEGUA,41,1,6,2,1,1,1,1,10,3
CARMEN DE LA LEGUA,38,1,4,6,2,1,1,2,10,3
CARMEN DE LA LEGUA,54,1,4,2,1,1,1,1,10,2
CARMEN DE LA LEGUA,26,1,5,2,2,1,1,1,10,2
CARMEN DE LA LEGUA,31,1,5,2,1,1,1,1,10,3
CARMEN DE LA LEGUA,23,1,5,6,1,1,1,1,10,3
CARMEN DE LA LEGUA,46,1,3,2,1,1,1,1,10,3
CARMEN DE LA LEGUA,40,1,5,2,1,1,1,1,10,3
CARMEN DE LA LEGUA,39,1,5,1,1,1,1,1,10,2
CARMEN DE LA LEGUA,42,1,1,2,1,1,1,1,10,2
CARMEN DE LA LEGUA,37,1,2,1,1,1,1,2,10,2
CARMEN DE LA LEGUA,54,1,2,6,6,2,1,2,10,2
CARMEN DE LA LEGUA,27,1,4,2,1,1,1,2,10,2
CARMEN DE LA LEGUA,37,1,6,2,1,1,1,1,10,3
CARMEN DE LA LEGUA,51,1,2,2,1,1,1,1,10,2
CARMEN DE LA LEGUA,52,1,6,2,1,1,1,1,10,2
CARMEN DE LA LEGUA,34,1,3,6,4,1,1,2,10,2
CARMEN DE LA LEGUA,43,1,1,6,3,1,1,2,10,2
CARMEN DE LA LEGUA,36,1,5,5,3,1,1,1,10,3
CARMEN DE LA LEGUA,41,1,2,6,1,6,1,2,10,2
CARMEN DE LA LEGUA,47,1,1,6,1,1,1,2,10,2
CARMEN DE LA LEGUA,63,1,1,6,1,1,1,2,10,2
CARMEN DE LA LEGUA,42,1,6,1,1,1,1,1,10,3
CARMEN DE LA LEGUA,42,1,4,1,3,1,1,1,10,2
CARMEN DE LA LEGUA,47,1,5,6,1,1,1,2,10,3
CARMEN DE LA LEGUA,37,1,6,6,3,1,1,1,10,3
CARMEN DE LA LEGUA,33,1,6,6,1,1,6,2,10,3
CARMEN DE LA LEGUA,49,1,4,6,6,1,1,2,10,2
CARMEN DE LA LEGUA,52,1,4,5,4,1,1,2,10,2
CARMEN DE LA LEGUA,47,1,1,1,3,1,1,2,10,3
CARMEN DE LA LEGUA,64,1,6,6,1,1,1,2,10,3
CARMEN DE LA LEGUA,41,1,4,1,1,1,1,2,10,3
CARMEN DE LA LEGUA,43,1,4,1,2,1,1,1,10,3
CARMEN DE LA LEGUA,52,1,1,1,1,1,1,2,10,2
CARMEN DE LA LEGUA,49,1,4,1,2,2,1,1,10,2
CARMEN DE LA LEGUA,74,1,6,6,1,1,1,1,10,2
CARMEN DE LA LEGUA,64,0,1,1,1,1,1,1,10,2
CARMEN DE LA LEGUA,37,1,1,1,1,1,1,2,10,2
CARMEN DE LA LEGUA,53,1,6,5,1,1,1,2,10,2
CARMEN DE LA LEGUA,32,1,3,5,1,1,1,2,10,3
CARMEN DE LA LEGUA,65,0,1,6,4,1,4,2,10,2
CARMEN DE LA LEGUA,36,1,3,6,1,1,1,2,10,3
CARMEN DE LA LEGUA,66,1,1,1,1,1,1,1,10,2
CARMEN DE LA LEGUA,61,1,6,2,1,1,1,1,10,2
CARMEN DE LA LEGUA,33,1,6,2,2,1,1,1,10,3
CARMEN DE LA LEGUA,31,1,4,2,1,1,1,1,10,2
CARMEN DE LA LEGUA,26,1,4,6,6,1,1,1,10,3
CARMEN DE LA LEGUA,40,1,3,1,1,1,1,1,10,2
CARMEN DE LA LEGUA,35,1,6,2,3,1,1,1,10,2
CARMEN DE LA LEGUA,20,1,3,6,5,1,1,1,10,3
CARMEN DE LA LEGUA,45,1,1,1,1,1,1,2,10,2
CARMEN DE LA LEGUA,40,1,1,6,4,1,1,1,10,3
CARMEN DE LA LEGUA,59,0,1,6,1,1,1,2,10,3
